municipio,PIB
MONTEIRO LOBATO,16323.40
MORRO AGUDO,41129.91
MORUNGABA,41622.94
MOTUCA,23891.56
MURUTINGA DO SUL,19918.21
NANTES,41133.40
NARANDIBA,54230.09
NATIVIDADE DA SERRA,12846.71
NAZARE PAULISTA,22465.92
NEVES PAULISTA,28298.50
NHANDEARA,32792.34
NIPOA,18702.89
NOVA ALIANCA,36068.31
NOVA CAMPINA,14201.84
NOVA CANAA PAULISTA,23692.73
NOVA CASTILHO,46867.47
NOVA EUROPA,32322.80
NOVA GRANADA,23064.13
NOVA GUATAPORANGA,16601.80
NOVA INDEPENDENCIA,49656.04
NOVA LUZITANIA,13475.57
NOVA ODESSA,62842.32
NOVAIS,13628.27
NOVO HORIZONTE,35793.98
NUPORANGA,99522.69
OCAUCU,43162.49
OLEO,50926.82
OLIMPIA,40475.31
ONDA VERDE,44911.12
ORIENTE,18011.14
ORINDIUVA,75097.00
ORLANDIA,51584.69
OSASCO,112064.39
OSCAR BRESSANE,41625.16
OSVALDO CRUZ,31756.40
OURINHOS,31715.45
OURO VERDE,15403.61
OUROESTE,60967.68
PACAEMBU,15787.83
PALESTINA,35312.27
PALMARES PAULISTA,10102.34
PALMEIRA D'OESTE,22589.14
PALMITAL,38239.10
PANORAMA,19644.38
PARAGUACU PAULISTA,37257.61
PARAIBUNA,17852.79
PARAISO,42513.89
PARANAPANEMA,44805.73
PARANAPUA,37657.33
PARAPUA,60945.06
PARDINHO,50450.83
PARIQUERA-ACU,27734.62
PARISI,25957.18
PATROCINIO PAULISTA,79575.18
PAULICEIA,27577.61
PAULINIA,367230.27
PAULISTANIA,24395.83
PAULO DE FARIA,36068.51
PEDERNEIRAS,51218.57
PEDRA BELA,18020.15
PEDRANOPOLIS,30138.18
PEDREGULHO,82375.25
PEDREIRA,29620.23
PEDRINHAS PAULISTA,53131.07
PEDRO DE TOLEDO,15155.22
PENAPOLIS,28106.70
PEREIRA BARRETO,35864.66
PEREIRAS,33878.47
PERUIBE,24752.94
PIACATU,17908.67
PIEDADE,28399.25
PILAR DO SUL,30415.13
PINDAMONHANGABA,55216.85
PINDORAMA,25972.39
PINHALZINHO,19201.28
PIQUEROBI,17458.91
PIQUETE,14673.21
PIRACAIA,22427.13
PIRACICABA,69696.59
PIRAJU,29623.42
PIRAJUI,21206.12
PIRANGI,35621.54
PIRAPORA DO BOM JESUS,27762.76
PIRAPOZINHO,35548.04
PIRASSUNUNGA,42320.57
PIRATININGA,19336.33
PITANGUEIRAS,33142.81
PLANALTO,34941.83
PLATINA,36432.26
POA,28669.35
POLONI,25365.61
POMPEIA,70799.67
PONGAI,25318.26
PONTAL,26457.78
PONTALINDA,19079.46
PONTES GESTAL,40419.47
POPULINA,27423.59
PORANGABA,21631.59
PORTO FELIZ,60675.58
PORTO FERREIRA,42232.94
POTIM,12618.95
POTIRENDABA,35438.80
PRACINHA,12315.61
PRADOPOLIS,51115.67
PRAIA GRANDE,25606.40
PRATANIA,22481.19
PRESIDENTE ALVES,18085.07
PRESIDENTE BERNARDES,26579.00
PRESIDENTE EPITACIO,22539.70
PRESIDENTE PRUDENTE,38479.29
PRESIDENTE VENCESLAU,20622.67
PROMISSAO,51623.73
QUADRA,33851.60
QUATA,53422.31
QUEIROZ,265117.09
QUELUZ,27338.87
QUINTANA,33757.01
RAFARD,42739.03
RANCHARIA,45843.97
REDENCAO DA SERRA,16268.49
REGENTE FEIJO,43625.17
REGINOPOLIS,24522.40
REGISTRO,40341.37
RESTINGA,25746.45
RIBEIRA,16710.38
RIBEIRAO BONITO,26671.74
RIBEIRAO BRANCO,28959.27
RIBEIRAO CORRENTE,37572.45
RIBEIRAO DO SUL,46110.14
RIBEIRAO DOS INDIOS,19760.86
RIBEIRAO GRANDE,29141.47
RIBEIRAO PIRES,28086.21
RIBEIRAO PRETO,51506.37
RIFAINA,50073.95
RINCAO,20004.29
RINOPOLIS,31186.61
RIO CLARO,56816.67
RIO DAS PEDRAS,42566.47
RIO GRANDE DA SERRA,17014.28
RIOLANDIA,21524.45
RIVERSUL,14928.50
ROSANA,123846.45
ROSEIRA,31811.55
RUBIACEA,26263.06
RUBINEIA,29574.81
SABINO,24745.05
SAGRES,19677.26
SALES,25739.38
SALES OLIVEIRA,35787.36
SALESOPOLIS,14509.50
SALMOURAO,16259.14
SALTINHO,37195.17
SALTO,67654.35
SALTO DE PIRAPORA,47606.75
SALTO GRANDE,29491.13
SANDOVALINA,103715.92
SANTA ADELIA,23935.01
SANTA ALBERTINA,37522.53
SANTA BARBARA D OESTE,34332.50
SANTA BRANCA,20072.30
SANTA CLARA D OESTE,36885.89
SANTA CRUZ DA CONCEICAO,33124.85
SANTA CRUZ DA ESPERANCA,30740.10
SANTA CRUZ DAS PALMEIRAS,17199.90
SANTA CRUZ DO RIO PARDO,52688.06
SANTA ERNESTINA,19229.95
SANTA FE DO SUL,41178.11
SANTA GERTRUDES,102776.68
SANTA ISABEL,29207.10
SANTA LUCIA,14684.26
SANTA MARIA DA SERRA,22360.07
SANTA MERCEDES,22037.52
SANTA RITA DO PASSA QUATRO,28768.09
SANTA RITA D OESTE,27865.36
SANTA ROSA DE VITERBO,29769.81
SANTA SALETE,27466.97
SANTANA DA PONTE PENSA,27452.17
SANTANA DE PARNAIBA,71680.99
SANTO ANASTACIO,24883.36
SANTO ANDRE,42429.57
SANTO ANTONIO DA ALEGRIA,28125.61
SANTO ANTONIO DE POSSE,69669.02
SANTO ANTONIO DO ARACANGUA,30710.78
SANTO ANTONIO DO JARDIM,33612.17
SANTO ANTONIO DO PINHAL,19585.81
SANTO EXPEDITO,15132.00
SANTOPOLIS DO AGUAPEI,15455.67
SANTOS,51489.11
SAO BENTO DO SAPUCAI,22677.69
SAO BERNARDO DO CAMPO,59863.54
SAO CAETANO DO SUL,92305.78
SAO CARLOS,50031.12
SAO FRANCISCO,17847.18
SAO JOAO DA BOA VISTA,39429.14
SAO JOAO DAS DUAS PONTES,19909.04
SAO JOAO DE IRACEMA,22991.16
SAO JOAO DO PAU D ALHO,27880.64
SAO JOAQUIM DA BARRA,37480.43
